#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23798923,HTIA_RS12535,HTIA_RS12535,HTIA_2537,-,I,-,PAS domain-containing protein,protein-coding,-,-,-,PAS domain-containing protein,20210312,-
1033806,23798924,HTIA_RS12530,HTIA_RS12530,HTIA_2536,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23798925,HTIA_RS12525,HTIA_RS12525,HTIA_2535,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23798927,HTIA_RS12515,HTIA_RS12515,HTIA_2533,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798929,HTIA_RS12505,HTIA_RS12505,HTIA_2531,-,I,-,carboxymuconolactone decarboxylase family protein,protein-coding,-,-,-,carboxymuconolactone decarboxylase family protein,20210312,-
1033806,23798930,HTIA_RS12500,HTIA_RS12500,HTIA_2530,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798931,HTIA_RS12495,HTIA_RS12495,HTIA_2529,-,I,-,permease,protein-coding,-,-,-,permease,20210312,-
1033806,23798932,HTIA_RS12490,HTIA_RS12490,HTIA_2528,-,I,-,hydrolase GDSL,protein-coding,-,-,-,hydrolase GDSL,20210312,-
1033806,23798933,HTIA_RS12485,HTIA_RS12485,HTIA_2527,-,I,-,sulfurtransferase,protein-coding,-,-,-,sulfurtransferase,20210312,-
1033806,23798934,HTIA_RS12480,HTIA_RS12480,HTIA_2526,-,I,-,type IV pilin N-terminal domain-containing protein,protein-coding,-,-,-,type IV pilin N-terminal domain-containing protein,20210312,-
1033806,23798935,HTIA_RS12475,HTIA_RS12475,HTIA_2525,-,I,-,DUF87 domain-containing protein,protein-coding,-,-,-,DUF87 domain-containing protein,20210312,-
1033806,23798936,HTIA_RS12470,HTIA_RS12470,HTIA_2524,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798937,dinB,HTIA_RS12465,HTIA_2523,-,I,-,DNA polymerase IV,protein-coding,-,-,-,DNA polymerase IV,20210312,-
1033806,23798938,HTIA_RS12460,HTIA_RS12460,HTIA_2522,-,I,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210312,-
1033806,23798939,HTIA_RS12455,HTIA_RS12455,HTIA_2521,-,I,-,DUF555 domain-containing protein,protein-coding,-,-,-,DUF555 domain-containing protein,20210312,-
1033806,23798940,HTIA_RS12450,HTIA_RS12450,HTIA_2519,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210312,-
1033806,23798941,HTIA_RS12445,HTIA_RS12445,-,-,I,-,Rrf2 family transcriptional regulator,protein-coding,-,-,-,Rrf2 family transcriptional regulator,20210312,-
1033806,23798942,HTIA_RS12440,HTIA_RS12440,HTIA_2518,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23798943,HTIA_RS12435,HTIA_RS12435,HTIA_2517,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23798944,HTIA_RS12430,HTIA_RS12430,HTIA_2516,-,I,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20210312,-
1033806,23798945,HTIA_RS12425,HTIA_RS12425,HTIA_2515,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23798946,HTIA_RS12420,HTIA_RS12420,HTIA_2514,-,I,-,hydroxymethylglutaryl-CoA synthase family protein,protein-coding,-,-,-,hydroxymethylglutaryl-CoA synthase family protein,20210312,-
1033806,23798947,HTIA_RS12415,HTIA_RS12415,HTIA_2513,-,I,-,PKD domain-containing protein,protein-coding,-,-,-,PKD domain-containing protein,20210312,-
1033806,23798948,HTIA_RS12410,HTIA_RS12410,HTIA_2512,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798949,HTIA_RS12405,HTIA_RS12405,HTIA_2511,-,I,-,DUF2150 family protein,protein-coding,-,-,-,DUF2150 family protein,20210312,-
1033806,23798950,HTIA_RS12400,HTIA_RS12400,HTIA_2510,-,I,-,dodecin domain-containing protein,protein-coding,-,-,-,dodecin domain-containing protein,20210312,-
1033806,23798951,HTIA_RS12395,HTIA_RS12395,HTIA_2509,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23798952,HTIA_RS12390,HTIA_RS12390,HTIA_2508,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23798953,HTIA_RS12385,HTIA_RS12385,HTIA_2507,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798954,HTIA_RS12380,HTIA_RS12380,HTIA_2506,-,I,-,type IV pilin N-terminal domain-containing protein,protein-coding,-,-,-,type IV pilin N-terminal domain-containing protein,20210312,-
1033806,23798955,HTIA_RS12375,HTIA_RS12375,HTIA_2505,-,I,-,RtcB family protein,protein-coding,-,-,-,RtcB family protein,20210312,-
1033806,23798956,katG,HTIA_RS12370,HTIA_2504,-,I,-,catalase/peroxidase HPI,protein-coding,-,-,-,catalase/peroxidase HPI,20210312,-
1033806,23798957,HTIA_RS12365,HTIA_RS12365,HTIA_2503,-,I,-,archease,protein-coding,-,-,-,archease,20210312,-
1033806,23798958,HTIA_RS12360,HTIA_RS12360,HTIA_2502,-,I,-,DUF502 domain-containing protein,protein-coding,-,-,-,DUF502 domain-containing protein,20210312,-
1033806,23798959,HTIA_RS12355,HTIA_RS12355,HTIA_2501,-,I,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210312,-
1033806,23798960,priS,HTIA_RS12350,HTIA_2500,-,I,-,DNA primase small subunit PriS,protein-coding,-,-,-,DNA primase small subunit PriS,20210312,-
1033806,23798961,HTIA_RS12345,HTIA_RS12345,HTIA_2499,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798962,HTIA_RS12340,HTIA_RS12340,HTIA_2498,-,I,-,trypsin-like peptidase domain-containing protein,protein-coding,-,-,-,trypsin-like peptidase domain-containing protein,20210312,-
1033806,23798963,HTIA_RS12335,HTIA_RS12335,HTIA_2497,-,I,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20210312,-
1033806,23798964,HTIA_RS12330,HTIA_RS12330,HTIA_2496,-,I,-,TatD family hydrolase,protein-coding,-,-,-,TatD family hydrolase,20210312,-
1033806,23798965,HTIA_RS12325,HTIA_RS12325,HTIA_2495,-,I,-,NYN domain-containing protein,protein-coding,-,-,-,NYN domain-containing protein,20210312,-
1033806,23798966,HTIA_RS12320,HTIA_RS12320,HTIA_2494,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798967,HTIA_RS12315,HTIA_RS12315,HTIA_2493,-,I,-,VTT domain-containing protein,protein-coding,-,-,-,VTT domain-containing protein,20210312,-
1033806,23798968,mfnA,HTIA_RS12310,HTIA_2492,-,I,-,tyrosine decarboxylase MfnA,protein-coding,-,-,-,tyrosine decarboxylase MfnA,20210312,-
1033806,23798969,HTIA_RS12305,HTIA_RS12305,HTIA_2491,-,I,-,PhzF family phenazine biosynthesis protein,protein-coding,-,-,-,PhzF family phenazine biosynthesis protein,20210312,-
1033806,23798970,HTIA_RS12300,HTIA_RS12300,HTIA_2490,-,I,-,alpha/beta fold hydrolase,protein-coding,-,-,-,alpha/beta fold hydrolase,20210312,-
1033806,23798971,HTIA_RS12295,HTIA_RS12295,HTIA_2489,-,I,-,phosphoribosyltransferase,protein-coding,-,-,-,phosphoribosyltransferase,20210312,-
1033806,23798972,HTIA_RS12290,HTIA_RS12290,HTIA_2488,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798973,HTIA_RS12285,HTIA_RS12285,HTIA_2487,-,I,-,AEC family transporter,protein-coding,-,-,-,AEC family transporter,20210312,-
1033806,23798974,HTIA_RS12280,HTIA_RS12280,HTIA_2485,-,I,-,segregation/condensation protein A,protein-coding,-,-,-,segregation/condensation protein A,20210312,-
1033806,23798975,smc,HTIA_RS12275,HTIA_2484,-,I,-,chromosome segregation protein SMC,protein-coding,-,-,-,chromosome segregation protein SMC,20210312,-
1033806,23798976,HTIA_RS12270,HTIA_RS12270,HTIA_2483,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798977,gatB,HTIA_RS12265,HTIA_2481,-,I,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,protein-coding,-,-,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,20210312,-
1033806,23798978,HTIA_RS12260,HTIA_RS12260,HTIA_2480,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798979,HTIA_RS12255,HTIA_RS12255,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798980,HTIA_RS12250,HTIA_RS12250,HTIA_2479,-,I,-,DNA topoisomerase I,protein-coding,-,-,-,DNA topoisomerase I,20210312,-
1033806,23798981,HTIA_RS12245,HTIA_RS12245,HTIA_2478,-,I,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20210312,-
1033806,23798982,HTIA_RS12240,HTIA_RS12240,HTIA_2477,-,I,-,NAD-binding protein,protein-coding,-,-,-,NAD-binding protein,20210312,-
1033806,23798983,HTIA_RS12235,HTIA_RS12235,HTIA_2476,-,I,-,Lrp/AsnC family transcriptional regulator,protein-coding,-,-,-,Lrp/AsnC family transcriptional regulator,20210312,-
1033806,23798984,aspS,HTIA_RS12230,HTIA_2475,-,I,-,aspartate--tRNA(Asn) ligase,protein-coding,-,-,-,aspartate--tRNA(Asn) ligase,20210312,-
1033806,23798985,HTIA_RS12225,HTIA_RS12225,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798986,HTIA_RS12220,HTIA_RS12220,HTIA_2473,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798987,HTIA_RS12215,HTIA_RS12215,HTIA_2472,-,I,-,UPF0175 family protein,protein-coding,-,-,-,UPF0175 family protein,20210312,-
1033806,23798988,HTIA_RS12210,HTIA_RS12210,HTIA_2471,-,I,-,sugar kinase,protein-coding,-,-,-,sugar kinase,20210312,-
1033806,23798989,HTIA_RS12205,HTIA_RS12205,HTIA_2470,-,I,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20210312,-
1033806,23798990,HTIA_RS12200,HTIA_RS12200,HTIA_2468,-,I,-,phosphopantothenate/pantothenate synthetase,protein-coding,-,-,-,phosphopantothenate/pantothenate synthetase,20210312,-
1033806,23798991,HTIA_RS12195,HTIA_RS12195,HTIA_2467,-,I,-,chemotaxis protein CheC,protein-coding,-,-,-,chemotaxis protein CheC,20210312,-
1033806,23798992,HTIA_RS12190,HTIA_RS12190,HTIA_2466,-,I,-,TRIC cation channel family protein,protein-coding,-,-,-,TRIC cation channel family protein,20210312,-
1033806,23798993,HTIA_RS12185,HTIA_RS12185,HTIA_2465,-,I,-,thiazole biosynthesis protein,protein-coding,-,-,-,thiazole biosynthesis protein,20210312,-
1033806,23798994,HTIA_RS12180,HTIA_RS12180,HTIA_2464,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798995,HTIA_RS12175,HTIA_RS12175,HTIA_2463,-,I,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210312,-
1033806,23798996,HTIA_RS12170,HTIA_RS12170,HTIA_2462,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23798997,HTIA_RS12165,HTIA_RS12165,HTIA_2461,-,I,-,dCTP deaminase,protein-coding,-,-,-,dCTP deaminase,20210312,-
1033806,23798998,HTIA_RS12160,HTIA_RS12160,HTIA_2460,-,I,-,DUF1508 domain-containing protein,protein-coding,-,-,-,DUF1508 domain-containing protein,20210312,-
1033806,23798999,cysK,HTIA_RS12155,HTIA_2459,-,I,-,cysteine synthase A,protein-coding,-,-,-,cysteine synthase A,20210312,-
1033806,23799000,HTIA_RS12150,HTIA_RS12150,HTIA_2458,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23799001,HTIA_RS12145,HTIA_RS12145,HTIA_2456,-,I,-,NDP-sugar synthase,protein-coding,-,-,-,NDP-sugar synthase,20210312,-
1033806,23799002,HTIA_RS12140,HTIA_RS12140,HTIA_2455,-,I,-,IS200/IS605 family transposon protein TnpB,protein-coding,-,-,-,IS200/IS605 family transposon protein TnpB,20210312,-
1033806,23799003,tnpA,HTIA_RS12135,HTIA_2454,-,I,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20210312,-
1033806,23799004,HTIA_RS12130,HTIA_RS12130,HTIA_2452,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799005,HTIA_RS12125,HTIA_RS12125,HTIA_2451,-,I,-,diphthine--ammonia ligase,protein-coding,-,-,-,diphthine--ammonia ligase,20210312,-
1033806,23799006,HTIA_RS12120,HTIA_RS12120,HTIA_2449,-,I,-,hydrolase,protein-coding,-,-,-,hydrolase,20210312,-
1033806,23799007,HTIA_RS12115,HTIA_RS12115,HTIA_2448,-,I,-,coiled-coil protein,protein-coding,-,-,-,coiled-coil protein,20210312,-
1033806,23799008,HTIA_RS12110,HTIA_RS12110,HTIA_2447,-,I,-,DUF373 family protein,protein-coding,-,-,-,DUF373 family protein,20210312,-
1033806,23799009,HTIA_RS12105,HTIA_RS12105,HTIA_2446,-,I,-,DUF371 domain-containing protein,protein-coding,-,-,-,DUF371 domain-containing protein,20210312,-
1033806,23799010,HTIA_RS12100,HTIA_RS12100,HTIA_2445,-,I,-,endonuclease III,protein-coding,-,-,-,endonuclease III,20210312,-
1033806,23799011,HTIA_RS12095,HTIA_RS12095,HTIA_2444,-,I,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210312,-
1033806,23799012,HTIA_RS12090,HTIA_RS12090,HTIA_2443,-,I,-,glycoside hydrolase family 95 protein,protein-coding,-,-,-,glycoside hydrolase family 95 protein,20210312,-
1033806,23799013,HTIA_RS12085,HTIA_RS12085,HTIA_2442,-,I,-,glycoside hydrolase family 43 protein,protein-coding,-,-,-,glycoside hydrolase family 43 protein,20210312,-
1033806,23799014,HTIA_RS12080,HTIA_RS12080,HTIA_2441,-,I,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210312,-
1033806,23799015,HTIA_RS12075,HTIA_RS12075,HTIA_2440,-,I,-,beta-CASP ribonuclease aCPSF1,protein-coding,-,-,-,beta-CASP ribonuclease aCPSF1,20210312,-
1033806,23799016,HTIA_RS12070,HTIA_RS12070,HTIA_2439,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799017,HTIA_RS12065,HTIA_RS12065,HTIA_2438,-,I,-,succinylglutamate desuccinylase/aspartoacylase family protein,protein-coding,-,-,-,succinylglutamate desuccinylase/aspartoacylase family protein,20210312,-
1033806,23799018,HTIA_RS12060,HTIA_RS12060,HTIA_2437,-,I,-,proline--tRNA ligase,protein-coding,-,-,-,proline--tRNA ligase,20210312,-
1033806,23799019,HTIA_RS12055,HTIA_RS12055,HTIA_2436,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,23799020,HTIA_RS12050,HTIA_RS12050,HTIA_2435,-,I,-,M20 family metallopeptidase,protein-coding,-,-,-,M20 family metallopeptidase,20210312,-
1033806,23799021,lysA,HTIA_RS12045,HTIA_2434,-,I,-,diaminopimelate decarboxylase,protein-coding,-,-,-,diaminopimelate decarboxylase,20210312,-
1033806,23799022,HTIA_RS12040,HTIA_RS12040,HTIA_2432,-,I,-,preprotein translocase subunit SecD,protein-coding,-,-,-,preprotein translocase subunit SecD,20210312,-
1033806,23799023,HTIA_RS12035,HTIA_RS12035,HTIA_2431,-,I,-,protein translocase subunit SecF,protein-coding,-,-,-,protein translocase subunit SecF,20210312,-
1033806,23799024,HTIA_RS12030,HTIA_RS12030,HTIA_2430,-,I,-,guanosine monophosphate reductase,protein-coding,-,-,-,guanosine monophosphate reductase,20210312,-
1033806,23799025,HTIA_RS12025,HTIA_RS12025,HTIA_2429,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799026,HTIA_RS12020,HTIA_RS12020,HTIA_2428,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799027,HTIA_RS12015,HTIA_RS12015,HTIA_2427,-,I,-,CPBP family intramembrane metalloprotease,protein-coding,-,-,-,CPBP family intramembrane metalloprotease,20210312,-
1033806,23799028,HTIA_RS12010,HTIA_RS12010,HTIA_2426,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799029,HTIA_RS12005,HTIA_RS12005,HTIA_2425,-,I,-,NOB1 family endonuclease,protein-coding,-,-,-,NOB1 family endonuclease,20210312,-
1033806,23799030,HTIA_RS12000,HTIA_RS12000,HTIA_2424,-,I,-,PRC-barrel domain-containing protein,protein-coding,-,-,-,PRC-barrel domain-containing protein,20210312,-
1033806,23799031,HTIA_RS11995,HTIA_RS11995,HTIA_2423,-,I,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210312,-
1033806,23799032,infB,HTIA_RS11990,HTIA_2422,-,I,-,translation initiation factor IF-2,protein-coding,-,-,-,translation initiation factor IF-2,20210312,-
1033806,23799033,HTIA_RS11985,HTIA_RS11985,HTIA_2421,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799034,HTIA_RS11980,HTIA_RS11980,HTIA_2420,-,I,-,DUF3194 domain-containing protein,protein-coding,-,-,-,DUF3194 domain-containing protein,20210312,-
1033806,23799035,HTIA_RS11975,HTIA_RS11975,HTIA_2419,-,I,-,prefoldin subunit beta,protein-coding,-,-,-,prefoldin subunit beta,20210312,-
1033806,23799036,HTIA_RS11970,HTIA_RS11970,HTIA_2418,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799037,HTIA_RS11965,HTIA_RS11965,HTIA_2417,-,I,-,KEOPS complex Pcc1-like subunit,protein-coding,-,-,-,KEOPS complex Pcc1-like subunit,20210312,-
1033806,23799038,HTIA_RS11960,HTIA_RS11960,HTIA_2416,-,I,-,DNA-directed RNA polymerase subunit P,protein-coding,-,-,-,DNA-directed RNA polymerase subunit P,20210312,-
1033806,23799039,HTIA_RS11955,HTIA_RS11955,HTIA_2415,-,I,-,50S ribosomal protein L37ae,protein-coding,-,-,-,50S ribosomal protein L37ae,20210312,-
1033806,23799040,HTIA_RS11950,HTIA_RS11950,HTIA_2414,-,I,-,DUF2103 domain-containing protein,protein-coding,-,-,-,DUF2103 domain-containing protein,20210312,-
1033806,23799041,HTIA_RS11945,HTIA_RS11945,HTIA_2413,-,I,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210312,-
1033806,23799042,HTIA_RS11940,HTIA_RS11940,HTIA_2412,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23799043,truD,HTIA_RS11935,HTIA_2411,-,I,-,tRNA pseudouridine(13) synthase TruD,protein-coding,-,-,-,tRNA pseudouridine(13) synthase TruD,20210312,-
1033806,23799044,psmB,HTIA_RS11930,HTIA_2410,-,I,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20210312,-
1033806,23799045,psmA,HTIA_RS11925,HTIA_2409,-,I,-,archaeal proteasome endopeptidase complex subunit alpha,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit alpha,20210312,-
1033806,23799046,HTIA_RS11920,HTIA_RS11920,HTIA_2408,-,I,-,peptidyl-tRNA hydrolase,protein-coding,-,-,-,peptidyl-tRNA hydrolase,20210312,-
1033806,23799047,HTIA_RS11915,HTIA_RS11915,HTIA_2407,-,I,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210312,-
1033806,23799048,HTIA_RS11910,HTIA_RS11910,HTIA_2406,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23799049,HTIA_RS11905,HTIA_RS11905,HTIA_2404,-,I,-,IS200/IS605 family accessory protein TnpB-related protein,protein-coding,-,-,-,IS200/IS605 family accessory protein TnpB-related protein,20210312,-
1033806,23799050,HTIA_RS11900,HTIA_RS11900,HTIA_2403,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799051,HTIA_RS11895,HTIA_RS11895,HTIA_2402,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799052,HTIA_RS11890,HTIA_RS11890,HTIA_2401,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799053,HTIA_RS11885,HTIA_RS11885,HTIA_2400,-,I,-,class II fumarate hydratase,protein-coding,-,-,-,class II fumarate hydratase,20210312,-
1033806,23799054,HTIA_RS11880,HTIA_RS11880,HTIA_2399,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799055,gatE,HTIA_RS11875,HTIA_2397,-,I,-,Glu-tRNA(Gln) amidotransferase subunit GatE,protein-coding,-,-,-,Glu-tRNA(Gln) amidotransferase subunit GatE,20210312,-
1033806,23799056,HTIA_RS11870,HTIA_RS11870,HTIA_2396,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799057,HTIA_RS11865,HTIA_RS11865,HTIA_2395,-,I,-,RNA methyltransferase,protein-coding,-,-,-,RNA methyltransferase,20210312,-
1033806,23799058,HTIA_RS11860,HTIA_RS11860,HTIA_2394,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799060,HTIA_RS11850,HTIA_RS11850,HTIA_2392,-,I,-,IS4-like element ISHti13 family transposase,protein-coding,-,-,-,IS4-like element ISHti13 family transposase,20210312,-
1033806,23799061,HTIA_RS11845,HTIA_RS11845,HTIA_2391,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799062,HTIA_RS11840,HTIA_RS11840,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799063,HTIA_RS11835,HTIA_RS11835,HTIA_2389,-,I,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210312,-
1033806,23799064,folP,HTIA_RS11830,HTIA_2388,-,I,-,dihydropteroate synthase,protein-coding,-,-,-,dihydropteroate synthase,20210312,-
1033806,23799065,HTIA_RS11825,HTIA_RS11825,HTIA_2387,-,I,-,DUF115 domain-containing protein,protein-coding,-,-,-,DUF115 domain-containing protein,20210312,-
1033806,23799066,HTIA_RS11820,HTIA_RS11820,HTIA_2386,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23799067,msrB,HTIA_RS11815,HTIA_2385,-,I,-,peptide-methionine (R)-S-oxide reductase MsrB,protein-coding,-,-,-,peptide-methionine (R)-S-oxide reductase MsrB,20210312,-
1033806,23799068,HTIA_RS11810,HTIA_RS11810,HTIA_2384,-,I,-,excinuclease ABC subunit C,protein-coding,-,-,-,excinuclease ABC subunit C,20210312,-
1033806,23799069,HTIA_RS11805,HTIA_RS11805,HTIA_2383,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
